parcel_num,x,y,z
1.0,-1.0,-53.0,18.0
2.0,2.0,-82.0,9.0
3.0,-1.0,-58.0,20.0
4.0,-7.0,-31.0,38.0
5.0,0.0,-16.0,-11.0
6.0,7.0,-64.0,-18.0
7.0,-2.0,-28.0,9.0
8.0,4.0,-51.0,-8.0
9.0,-11.0,49.0,36.0
10.0,31.0,-60.0,46.0
11.0,3.0,49.0,23.0
12.0,2.0,39.0,23.0
13.0,40.0,-22.0,56.0
14.0,1.0,-9.0,53.0
15.0,-1.0,10.0,-6.0
16.0,1.0,-27.0,45.0
17.0,-1.0,-68.0,56.0
18.0,1.0,-25.0,4.0
19.0,-3.0,-31.0,-10.0
20.0,0.0,-51.0,55.0
21.0,-0.0,-35.0,38.0
22.0,0.0,-62.0,-18.0
23.0,1.0,-88.0,2.0
24.0,-0.0,-15.0,8.0
25.0,-39.0,-22.0,61.0
26.0,-0.0,-83.0,-15.0
27.0,-6.0,-0.0,6.0
28.0,3.0,18.0,6.0
29.0,4.0,-87.0,9.0
30.0,0.0,-11.0,-13.0
31.0,-0.0,-55.0,10.0
32.0,-5.0,-5.0,45.0
33.0,48.0,-60.0,-11.0
34.0,15.0,-36.0,20.0
35.0,1.0,-69.0,1.0
36.0,4.0,-2.0,-16.0
37.0,-1.0,-18.0,-19.0
38.0,3.0,-93.0,-7.0
39.0,35.0,22.0,5.0
40.0,3.0,22.0,5.0
41.0,0.0,30.0,-9.0
42.0,40.0,21.0,42.0
43.0,3.0,-57.0,35.0
44.0,-10.0,31.0,29.0
45.0,7.0,6.0,28.0
46.0,2.0,-9.0,30.0
47.0,-3.0,1.0,-12.0
48.0,45.0,3.0,48.0
49.0,11.0,-46.0,-19.0
50.0,2.0,-60.0,40.0
51.0,6.0,-14.0,-2.0
52.0,2.0,36.0,46.0
53.0,5.0,-13.0,12.0
54.0,3.0,-44.0,-10.0
55.0,-1.0,-10.0,48.0
56.0,-0.0,-9.0,7.0
57.0,-47.0,-64.0,-6.0
58.0,-49.0,10.0,24.0
59.0,2.0,20.0,-14.0
60.0,8.0,-67.0,12.0
61.0,1.0,-58.0,-14.0
62.0,-1.0,-77.0,-2.0
63.0,-0.0,1.0,54.0
64.0,0.0,3.0,59.0
65.0,1.0,28.0,29.0
66.0,-1.0,-1.0,17.0
67.0,10.0,37.0,29.0
68.0,1.0,-71.0,44.0
69.0,0.0,-67.0,36.0
70.0,-55.0,-50.0,10.0
71.0,-41.0,-38.0,42.0
72.0,4.0,-74.0,-9.0
73.0,-0.0,9.0,-10.0
74.0,0.0,-29.0,-3.0
75.0,4.0,29.0,-11.0
76.0,-48.0,18.0,7.0
77.0,15.0,-27.0,8.0
78.0,9.0,-28.0,23.0
79.0,-50.0,28.0,2.0
80.0,2.0,-74.0,29.0
81.0,50.0,21.0,7.0
82.0,-47.0,-49.0,49.0
83.0,-0.0,-18.0,-21.0
84.0,0.0,10.0,-5.0
85.0,-4.0,11.0,54.0
86.0,-0.0,-85.0,-5.0
87.0,-3.0,-60.0,-29.0
88.0,-32.0,21.0,-4.0
89.0,1.0,21.0,16.0
90.0,6.0,-23.0,14.0
91.0,2.0,2.0,1.0
92.0,47.0,39.0,11.0
93.0,0.0,-4.0,-16.0
94.0,1.0,-93.0,7.0
95.0,-2.0,-3.0,64.0
96.0,-4.0,5.0,5.0
97.0,-47.0,-35.0,52.0
98.0,-1.0,-17.0,1.0
99.0,-7.0,-7.0,-21.0
100.0,10.0,22.0,40.0
101.0,2.0,12.0,26.0
102.0,43.0,-36.0,45.0
103.0,-48.0,19.0,31.0
104.0,1.0,-8.0,4.0
105.0,1.0,-4.0,65.0
106.0,-37.0,10.0,29.0
107.0,56.0,-43.0,9.0
108.0,1.0,-27.0,-4.0
109.0,1.0,-50.0,35.0
110.0,-1.0,-54.0,30.0
111.0,7.0,10.0,2.0
112.0,-16.0,30.0,-3.0
113.0,-3.0,23.0,41.0
114.0,1.0,2.0,45.0
115.0,49.0,-49.0,48.0
116.0,2.0,35.0,22.0
117.0,-2.0,-61.0,3.0
118.0,-4.0,-65.0,49.0
119.0,-52.0,5.0,38.0
120.0,2.0,6.0,6.0
121.0,10.0,-13.0,15.0
122.0,7.0,10.0,57.0
123.0,-45.0,-59.0,-16.0
124.0,48.0,8.0,30.0
125.0,-3.0,-20.0,5.0
126.0,3.0,-72.0,-28.0
127.0,21.0,6.0,3.0
128.0,50.0,23.0,24.0
129.0,3.0,9.0,-18.0
130.0,-52.0,-40.0,15.0
131.0,-34.0,-47.0,42.0
132.0,-33.0,20.0,7.0
133.0,3.0,9.0,47.0
134.0,-8.0,-7.0,8.0
135.0,1.0,-39.0,-1.0
136.0,1.0,12.0,35.0
137.0,-15.0,-65.0,30.0
138.0,-28.0,-56.0,44.0
139.0,5.0,-50.0,-27.0
140.0,-45.0,44.0,-5.0
141.0,0.0,58.0,-2.0
142.0,3.0,55.0,21.0
143.0,-1.0,29.0,44.0
144.0,34.0,24.0,-5.0
145.0,1.0,54.0,5.0
146.0,-47.0,23.0,19.0
147.0,-1.0,46.0,-16.0
148.0,1.0,40.0,9.0
149.0,3.0,-2.0,-24.0
150.0,4.0,-69.0,4.0
151.0,-4.0,-19.0,22.0
152.0,30.0,-34.0,51.0
153.0,1.0,-18.0,14.0
154.0,1.0,32.0,42.0
155.0,48.0,17.0,-7.0
156.0,5.0,-82.0,21.0
157.0,37.0,-47.0,44.0
158.0,-8.0,-76.0,-16.0
159.0,-2.0,45.0,-4.0
160.0,3.0,-76.0,46.0
161.0,-9.0,-67.0,40.0
162.0,2.0,-56.0,-21.0
163.0,6.0,-57.0,4.0
164.0,-42.0,1.0,51.0
165.0,1.0,-92.0,-5.0
166.0,2.0,-22.0,38.0
167.0,1.0,-2.0,-9.0
168.0,1.0,13.0,63.0
169.0,-38.0,-23.0,54.0
170.0,-1.0,-34.0,34.0
171.0,2.0,-75.0,27.0
172.0,-53.0,8.0,12.0
173.0,2.0,-56.0,62.0
174.0,-40.0,15.0,46.0
175.0,1.0,-77.0,8.0
176.0,-43.0,2.0,31.0
177.0,-45.0,36.0,12.0
178.0,-56.0,-39.0,1.0
179.0,2.0,-56.0,55.0
180.0,4.0,-5.0,-8.0
181.0,-5.0,-75.0,30.0
182.0,-8.0,-42.0,59.0
183.0,1.0,-27.0,28.0
184.0,-1.0,-3.0,53.0
185.0,-47.0,-47.0,-10.0
186.0,-47.0,14.0,-6.0
187.0,53.0,11.0,17.0
188.0,-4.0,-36.0,-18.0
189.0,8.0,41.0,-11.0
190.0,21.0,-26.0,-3.0
191.0,4.0,19.0,51.0
192.0,-10.0,18.0,44.0
193.0,6.0,-63.0,54.0
194.0,-14.0,-10.0,51.0
195.0,7.0,-48.0,32.0
196.0,3.0,-55.0,-11.0
197.0,-30.0,-62.0,53.0
198.0,4.0,-25.0,60.0
199.0,2.0,-28.0,-10.0
200.0,40.0,6.0,29.0
